"id","tipo","fecha","total","metodoPago","estado","createdAt","updatedAt"
19,feria,2025-05-17 10:31:53.107 -0300,6000.0,efectivo,completada,2025-05-17 10:31:53.107 -0300,2025-05-17 10:31:53.107 -0300
20,feria,2025-05-17 10:44:52.016 -0300,3500.0,mercadopago,completada,2025-05-17 10:44:52.016 -0300,2025-05-17 10:44:52.016 -0300
21,feria,2025-05-17 10:45:03.575 -0300,3500.0,mercadopago,completada,2025-05-17 10:45:03.575 -0300,2025-05-17 10:45:03.575 -0300
22,feria,2025-05-17 10:45:31.072 -0300,3500.0,mercadopago,completada,2025-05-17 10:45:31.072 -0300,2025-05-17 10:45:31.072 -0300
23,feria,2025-05-17 10:45:43.835 -0300,3500.0,mercadopago,completada,2025-05-17 10:45:43.835 -0300,2025-05-17 10:45:43.835 -0300
24,feria,2025-05-17 10:46:49.136 -0300,3500.0,efectivo,completada,2025-05-17 10:46:49.136 -0300,2025-05-17 10:46:49.136 -0300
25,feria,2025-05-17 10:58:34.066 -0300,5000.0,efectivo,completada,2025-05-17 10:58:34.066 -0300,2025-05-17 10:58:34.066 -0300
26,feria,2025-05-17 10:58:46.290 -0300,7500.0,efectivo,completada,2025-05-17 10:58:46.290 -0300,2025-05-17 10:58:46.290 -0300
27,feria,2025-05-17 10:58:54.042 -0300,10000.0,efectivo,completada,2025-05-17 10:58:54.042 -0300,2025-05-17 10:58:54.042 -0300
28,pedido,2025-05-17 11:15:33.878 -0300,6000.0,efectivo,completada,2025-05-17 11:15:33.878 -0300,2025-05-17 11:15:33.878 -0300
29,pedido,2025-05-17 11:18:11.685 -0300,12000.0,efectivo,completada,2025-05-17 11:18:11.685 -0300,2025-05-17 11:18:11.685 -0300
30,feria,2025-05-17 11:53:40.226 -0300,1500.0,efectivo,completada,2025-05-17 11:53:40.226 -0300,2025-05-17 11:53:40.226 -0300
31,feria,2025-05-17 11:55:38.568 -0300,2500.0,efectivo,completada,2025-05-17 11:55:38.568 -0300,2025-05-17 11:55:38.568 -0300
32,feria,2025-05-17 11:57:03.683 -0300,3000.0,efectivo,completada,2025-05-17 11:57:03.683 -0300,2025-05-17 11:57:03.683 -0300
33,feria,2025-05-17 11:59:51.658 -0300,6000.0,efectivo,completada,2025-05-17 11:59:51.658 -0300,2025-05-17 11:59:51.658 -0300
34,feria,2025-05-17 12:14:45.112 -0300,9000.0,mercadopago,completada,2025-05-17 12:14:45.112 -0300,2025-05-17 12:14:45.112 -0300
35,feria,2025-05-17 12:14:57.837 -0300,6000.0,mercadopago,completada,2025-05-17 12:14:57.837 -0300,2025-05-17 12:14:57.837 -0300
36,feria,2025-05-17 12:16:16.145 -0300,7500.0,mercadopago,completada,2025-05-17 12:16:16.145 -0300,2025-05-17 12:16:16.145 -0300
37,feria,2025-05-17 12:16:25.911 -0300,8000.0,mercadopago,completada,2025-05-17 12:16:25.911 -0300,2025-05-17 12:16:25.911 -0300
38,feria,2025-05-17 12:24:21.547 -0300,6000.0,mercadopago,completada,2025-05-17 12:24:21.547 -0300,2025-05-17 12:24:21.547 -0300
39,feria,2025-05-17 12:24:30.859 -0300,5000.0,mercadopago,completada,2025-05-17 12:24:30.859 -0300,2025-05-17 12:24:30.859 -0300
40,feria,2025-05-17 12:52:02.793 -0300,6000.0,mercadopago,completada,2025-05-17 12:52:02.793 -0300,2025-05-17 12:52:02.793 -0300
41,feria,2025-05-17 12:55:33.666 -0300,6000.0,efectivo,completada,2025-05-17 12:55:33.666 -0300,2025-05-17 12:55:33.666 -0300
42,feria,2025-05-17 12:57:54.150 -0300,15000.0,efectivo,completada,2025-05-17 12:57:54.150 -0300,2025-05-17 12:57:54.150 -0300
43,feria,2025-05-17 13:03:42.351 -0300,5000.0,efectivo,completada,2025-05-17 13:03:42.351 -0300,2025-05-17 13:03:42.351 -0300
44,feria,2025-05-17 13:09:52.242 -0300,7000.0,mercadopago,completada,2025-05-17 13:09:52.242 -0300,2025-05-17 13:09:52.242 -0300
45,feria,2025-05-17 13:10:33.338 -0300,4000.0,mercadopago,completada,2025-05-17 13:10:33.338 -0300,2025-05-17 13:10:33.338 -0300
46,feria,2025-05-17 13:11:36.331 -0300,8000.0,mercadopago,completada,2025-05-17 13:11:36.331 -0300,2025-05-17 13:11:36.331 -0300
47,feria,2025-05-17 13:14:16.157 -0300,10000.0,efectivo,completada,2025-05-17 13:14:16.157 -0300,2025-05-17 13:14:16.157 -0300
48,feria,2025-05-17 13:23:39.602 -0300,3500.0,efectivo,completada,2025-05-17 13:23:39.602 -0300,2025-05-17 13:23:39.602 -0300
49,feria,2025-05-17 13:24:46.301 -0300,3500.0,efectivo,completada,2025-05-17 13:24:46.301 -0300,2025-05-17 13:24:46.301 -0300
50,feria,2025-05-17 13:39:24.549 -0300,3500.0,efectivo,completada,2025-05-17 13:39:24.549 -0300,2025-05-17 13:39:24.549 -0300
51,feria,2025-05-18 11:43:31.273 -0300,10000.0,efectivo,completada,2025-05-18 11:43:31.273 -0300,2025-05-18 11:43:31.273 -0300
52,feria,2025-05-18 12:33:19.579 -0300,6000.0,mercadopago,completada,2025-05-18 12:33:19.579 -0300,2025-05-18 12:33:19.579 -0300
53,feria,2025-05-18 12:33:30.130 -0300,7000.0,mercadopago,completada,2025-05-18 12:33:30.130 -0300,2025-05-18 12:33:30.130 -0300
54,feria,2025-05-18 13:01:08.163 -0300,12000.0,mercadopago,completada,2025-05-18 13:01:08.163 -0300,2025-05-18 13:01:08.163 -0300
55,feria,2025-05-18 13:53:44.781 -0300,8000.0,efectivo,completada,2025-05-18 13:53:44.781 -0300,2025-05-18 13:53:44.781 -0300
56,feria,2025-05-18 13:54:15.781 -0300,10000.0,mercadopago,completada,2025-05-18 13:54:15.781 -0300,2025-05-18 13:54:15.781 -0300
57,feria,2025-05-18 13:57:44.202 -0300,7000.0,efectivo,completada,2025-05-18 13:57:44.203 -0300,2025-05-18 13:57:44.203 -0300
58,feria,2025-05-18 14:14:15.283 -0300,12000.0,mercadopago,completada,2025-05-18 14:14:15.283 -0300,2025-05-18 14:14:15.283 -0300
59,feria,2025-05-18 14:14:28.948 -0300,12000.0,efectivo,completada,2025-05-18 14:14:28.948 -0300,2025-05-18 14:14:28.948 -0300
60,feria,2025-05-18 14:27:22.884 -0300,8000.0,efectivo,completada,2025-05-18 14:27:22.884 -0300,2025-05-18 14:27:22.884 -0300
61,feria,2025-05-18 14:41:54.612 -0300,5000.0,efectivo,completada,2025-05-18 14:41:54.612 -0300,2025-05-18 14:41:54.612 -0300
62,feria,2025-05-18 15:02:44.554 -0300,6000.0,efectivo,completada,2025-05-18 15:02:44.554 -0300,2025-05-18 15:02:44.554 -0300
63,feria,2025-05-18 15:17:10.702 -0300,1000.0,mercadopago,completada,2025-05-18 15:17:10.702 -0300,2025-05-18 15:17:10.702 -0300
64,feria,2025-05-18 15:33:12.067 -0300,6000.0,mercadopago,completada,2025-05-18 15:33:12.067 -0300,2025-05-18 15:33:12.067 -0300
65,feria,2025-05-18 15:33:29.097 -0300,15000.0,efectivo,completada,2025-05-18 15:33:29.097 -0300,2025-05-18 15:33:29.097 -0300
66,feria,2025-05-18 15:54:39.355 -0300,3500.0,mercadopago,completada,2025-05-18 15:54:39.355 -0300,2025-05-18 15:54:39.355 -0300
67,feria,2025-05-18 16:19:33.604 -0300,3500.0,efectivo,completada,2025-05-18 16:19:33.604 -0300,2025-05-18 16:19:33.604 -0300
68,feria,2025-05-18 16:19:43.763 -0300,2500.0,efectivo,completada,2025-05-18 16:19:43.763 -0300,2025-05-18 16:19:43.763 -0300
69,feria,2025-05-18 16:53:49.000 -0300,3000.0,efectivo,completada,2025-05-18 16:53:49.000 -0300,2025-05-18 16:53:49.000 -0300
70,feria,2025-05-18 16:56:12.634 -0300,6000.0,efectivo,completada,2025-05-18 16:56:12.634 -0300,2025-05-18 16:56:12.634 -0300
71,feria,2025-05-18 17:40:30.756 -0300,6000.0,efectivo,completada,2025-05-18 17:40:30.756 -0300,2025-05-18 17:40:30.756 -0300
87,feria,2025-05-24 12:05:02.274 -0300,5000.0,efectivo,completada,2025-05-24 12:05:02.275 -0300,2025-05-24 12:05:02.275 -0300
75,pedido,2025-05-23 09:05:09.749 -0300,12000.0,efectivo,completada,2025-05-23 09:05:09.749 -0300,2025-05-23 09:05:09.749 -0300
76,pedido,2025-05-23 11:16:17.260 -0300,6000.0,efectivo,completada,2025-05-23 11:16:17.260 -0300,2025-05-23 11:16:17.260 -0300
77,pedido,2025-05-23 11:16:26.774 -0300,7000.0,efectivo,completada,2025-05-23 11:16:26.775 -0300,2025-05-23 11:16:26.775 -0300
78,pedido,2025-05-23 11:16:34.350 -0300,6000.0,efectivo,completada,2025-05-23 11:16:34.350 -0300,2025-05-23 11:16:34.350 -0300
79,pedido,2025-05-23 11:16:54.875 -0300,6000.0,efectivo,completada,2025-05-23 11:16:54.875 -0300,2025-05-23 11:16:54.875 -0300
80,pedido,2025-05-24 10:22:49.409 -0300,16000.0,efectivo,completada,2025-05-24 10:22:49.409 -0300,2025-05-24 10:22:49.409 -0300
81,pedido,2025-05-24 10:26:30.473 -0300,7000.0,mercadopago,completada,2025-05-24 10:26:30.473 -0300,2025-05-24 10:26:30.473 -0300
82,feria,2025-05-24 11:10:35.943 -0300,6000.0,mercadopago,completada,2025-05-24 11:10:35.943 -0300,2025-05-24 11:10:35.943 -0300
83,feria,2025-05-24 11:56:03.163 -0300,6000.0,efectivo,completada,2025-05-24 11:56:03.163 -0300,2025-05-24 11:56:03.163 -0300
84,feria,2025-05-24 11:56:11.667 -0300,15000.0,mercadopago,completada,2025-05-24 11:56:11.667 -0300,2025-05-24 11:56:11.667 -0300
85,feria,2025-05-24 11:56:48.650 -0300,7000.0,efectivo,completada,2025-05-24 11:56:48.650 -0300,2025-05-24 11:56:48.650 -0300
86,feria,2025-05-24 12:04:33.332 -0300,4000.0,efectivo,completada,2025-05-24 12:04:33.332 -0300,2025-05-24 12:05:26.014 -0300
88,feria,2025-05-24 12:05:55.416 -0300,3000.0,mercadopago,completada,2025-05-24 12:05:55.416 -0300,2025-05-24 12:06:09.859 -0300
89,pedido,2025-05-24 12:08:56.347 -0300,6000.0,mercadopago,completada,2025-05-24 12:08:56.347 -0300,2025-05-24 12:08:56.347 -0300
90,feria,2025-05-24 12:15:43.406 -0300,6000.0,efectivo,completada,2025-05-24 12:15:43.406 -0300,2025-05-24 12:15:43.406 -0300
