"id","cantidad","precio_unitario","subtotal","venta_id","producto_id"
73,1,30000.0,30000.0,179,1
98,1,4000.0,4000.0,98,42
99,1,6000.0,6000.0,99,43
139,1,4000.0,4000.0,213,148
16,1,6000.0,6000.0,2,116
17,1,6000.0,6000.0,3,125
15,1,6000.0,6000.0,181,114
19,1,6000.0,6000.0,19,114
20,1,3500.0,3500.0,20,48
21,1,3500.0,3500.0,21,118
22,1,3500.0,3500.0,22,51
23,1,3500.0,3500.0,23,50
24,1,3500.0,3500.0,24,115
25,2,2500.0,5000.0,25,59
26,3,2500.0,7500.0,26,56
27,1,10000.0,10000.0,27,61
28,1,6000.0,6000.0,28,89
29,2,6000.0,12000.0,29,89
30,1,1500.0,1500.0,30,127
31,1,2500.0,2500.0,31,59
32,1,3000.0,3000.0,32,102
33,1,6000.0,6000.0,33,124
34,1,9000.0,9000.0,34,128
35,1,6000.0,6000.0,35,113
36,1,7500.0,7500.0,36,130
37,1,8000.0,8000.0,37,129
38,1,6000.0,6000.0,38,73
39,1,5000.0,5000.0,39,111
40,1,6000.0,6000.0,40,82
41,1,6000.0,6000.0,41,114
42,1,15000.0,15000.0,42,122
43,1,5000.0,5000.0,43,37
44,2,3500.0,7000.0,44,58
45,1,4000.0,4000.0,45,121
46,2,4000.0,8000.0,46,120
47,1,10000.0,10000.0,47,126
48,1,3500.0,3500.0,48,90
49,1,3500.0,3500.0,49,86
50,1,3500.0,3500.0,50,118
51,1,10000.0,10000.0,51,61
52,1,6000.0,6000.0,52,76
53,1,7000.0,7000.0,53,75
54,2,6000.0,12000.0,54,76
55,1,8000.0,8000.0,55,62
56,1,10000.0,10000.0,56,133
57,1,7000.0,7000.0,57,60
58,1,12000.0,12000.0,58,134
59,2,6000.0,12000.0,59,89
60,1,8000.0,8000.0,60,62
61,1,5000.0,5000.0,61,37
62,1,6000.0,6000.0,62,80
63,1,1000.0,1000.0,63,108
64,1,6000.0,6000.0,64,114
65,1,15000.0,15000.0,65,135
66,1,3500.0,3500.0,66,57
67,1,3500.0,3500.0,67,142
68,1,2500.0,2500.0,68,103
69,1,3000.0,3000.0,69,102
70,1,6000.0,6000.0,70,83
71,1,6000.0,6000.0,71,124
75,1,12000.0,12000.0,75,144
76,1,6000.0,6000.0,76,114
77,1,7000.0,7000.0,77,125
78,1,6000.0,6000.0,78,124
79,1,6000.0,6000.0,79,113
80,2,8000.0,16000.0,80,149
81,1,7000.0,7000.0,81,145
82,1,6000.0,6000.0,82,114
83,1,6000.0,6000.0,83,114
84,1,15000.0,15000.0,84,123
85,1,7000.0,7000.0,85,38
86,1,7000.0,7000.0,86,125
87,1,5000.0,5000.0,87,37
88,1,7000.0,7000.0,88,125
89,1,6000.0,6000.0,89,150
90,1,6000.0,6000.0,90,87
91,1,6000.0,6000.0,91,74
92,1,6000.0,6000.0,92,114
93,1,5000.0,5000.0,93,111
94,1,10000.0,10000.0,94,151
95,1,7000.0,7000.0,95,125
96,1,3500.0,3500.0,96,118
97,1,5000.0,5000.0,97,96
101,10,450.0,4500.0,101,152
102,1,15000.0,15000.0,102,135
103,1,3500.0,3500.0,103,51
104,1,3500.0,3500.0,104,50
105,1,3500.0,3500.0,105,115
106,1,3500.0,3500.0,106,131
107,1,6000.0,6000.0,107,124
108,1,7000.0,7000.0,108,60
109,1,5000.0,5000.0,109,96
110,1,12000.0,12000.0,110,141
111,1,7000.0,7000.0,111,124
112,1,2500.0,2500.0,112,45
113,1,1500.0,1500.0,113,105
114,1,2500.0,2500.0,114,56
115,1,10000.0,10000.0,115,61
116,1,2500.0,2500.0,116,56
117,1,6000.0,6000.0,117,147
119,1,3500.0,3500.0,119,57
120,1,3500.0,3500.0,120,46
121,1,10000.0,10000.0,121,155
122,1,10000.0,10000.0,122,65
123,1,7000.0,7000.0,123,125
124,1,3500.0,3500.0,124,115
125,1,3500.0,3500.0,125,49
126,1,3500.0,3500.0,126,47
127,1,7000.0,7000.0,127,114
128,1,8000.0,8000.0,202,153
131,1,3500.0,3500.0,205,5
132,1,10001.0,10001.0,206,151
137,1,7000.0,7000.0,211,114
141,1,8000.0,8000.0,215,132
144,1,5000.0,5000.0,218,37
146,1,4000.0,4000.0,220,54
148,1,4000.0,4000.0,222,53
150,1,8000.0,8000.0,224,113
152,1,4500.0,4500.0,226,120
154,1,3500.0,3500.0,228,57
156,1,3500.0,3500.0,230,7
158,1,7000.0,7000.0,232,114
160,1,6000.0,6000.0,234,44
162,1,2500.0,2500.0,236,45
74,2,8000.0,16000.0,180,60
129,1,14000.0,14000.0,203,3
130,1,3500.0,3500.0,204,131
133,1,10000.0,10000.0,207,65
135,1,8000.0,8000.0,209,124
136,1,7000.0,7000.0,210,114
138,1,6000.0,6000.0,212,147
140,1,4000.0,4000.0,214,118
142,1,15000.0,15000.0,216,66
143,1,6000.0,6000.0,217,89
145,1,3500.0,3500.0,219,7
147,1,4000.0,4000.0,221,142
149,1,8000.0,8000.0,223,62
151,1,7000.0,7000.0,225,38
153,1,3500.0,3500.0,227,58
155,1,2500.0,2500.0,229,59
157,1,4000.0,4000.0,231,90
159,1,6000.0,6000.0,233,89
161,1,3500.0,3500.0,235,7
163,1,7000.0,7000.0,237,114
164,1,8000.0,8000.0,238,60
72,1,8000.0,8000.0,178,113
